No,fitness,backbone
1,0.023017883,from:0 to:1 operator:-1  from:0 to:9 operator:7  from:1 to:2 operator:-1  from:1 to:9 operator:7  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
2,0.029624939,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:5  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
3,0.015773773,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:6  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:6  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:6  from:8 to:9 operator:-1  
4,0.015272141,from:0 to:1 operator:-1  from:0 to:6 operator:6  from:0 to:8 operator:8  from:0 to:9 operator:7  from:1 to:2 operator:-1  from:1 to:9 operator:7  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
5,0.015556335,from:0 to:1 operator:-1  from:0 to:7 operator:6  from:0 to:8 operator:6  from:1 to:2 operator:-1  from:1 to:8 operator:5  from:2 to:3 operator:-1  from:2 to:7 operator:3  from:3 to:4 operator:-1  from:3 to:8 operator:6  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
6,0.020935059,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:5  from:1 to:9 operator:1  from:2 to:3 operator:-1  from:2 to:7 operator:3  from:2 to:8 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
7,0.01688385,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:5  from:2 to:3 operator:9  from:2 to:7 operator:3  from:2 to:8 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
8,0.010141373,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:7  from:2 to:3 operator:-1  from:2 to:5 operator:8  from:3 to:4 operator:-1  from:3 to:8 operator:6  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
9,0.014820099,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:10  from:2 to:3 operator:-1  from:2 to:6 operator:4  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
10,0.016572952,from:0 to:1 operator:-1  from:0 to:6 operator:12  from:0 to:7 operator:8  from:0 to:8 operator:6  from:1 to:2 operator:-1  from:1 to:8 operator:5  from:2 to:3 operator:-1  from:2 to:7 operator:3  from:3 to:4 operator:-1  from:3 to:8 operator:6  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:13  from:8 to:9 operator:-1  
11,0.02909851,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:7  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:6  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:2  from:8 to:9 operator:-1  
12,0.014464855,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:3  from:2 to:3 operator:-1  from:2 to:4 operator:9  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
13,0.014478684,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:3  from:1 to:8 operator:5  from:2 to:3 operator:-1  from:2 to:6 operator:8  from:2 to:7 operator:3  from:2 to:8 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
14,0.036079407,from:0 to:1 operator:-1  from:0 to:5 operator:6  from:1 to:2 operator:-1  from:1 to:6 operator:6  from:1 to:8 operator:4  from:2 to:3 operator:-1  from:2 to:9 operator:6  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:6  from:6 to:7 operator:-1  from:7 to:8 operator:6  from:8 to:9 operator:-1  
15,0.0206604,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:6  from:1 to:8 operator:4  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:6  from:5 to:6 operator:-1  from:5 to:8 operator:6  from:5 to:9 operator:4  from:6 to:7 operator:-1  from:7 to:8 operator:6  from:8 to:9 operator:-1  
16,0.011745453,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:6  from:1 to:7 operator:9  from:1 to:8 operator:4  from:2 to:3 operator:-1  from:2 to:9 operator:6  from:3 to:4 operator:-1  from:3 to:8 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:6  from:6 to:7 operator:-1  from:7 to:8 operator:6  from:8 to:9 operator:-1  
17,0.014716312,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:6  from:1 to:8 operator:4  from:1 to:9 operator:6  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:6  from:6 to:7 operator:-1  from:7 to:8 operator:6  from:8 to:9 operator:-1  
18,0.014547348,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:6  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:7 to:8 operator:6  from:8 to:9 operator:-1  
19,0.015213013,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:7  from:1 to:8 operator:5  from:2 to:3 operator:-1  from:2 to:7 operator:3  from:2 to:8 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:-1  from:6 to:8 operator:6  from:6 to:9 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
20,0.010917664,from:0 to:1 operator:-1  from:0 to:7 operator:13  from:1 to:2 operator:-1  from:1 to:3 operator:12  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:7  from:6 to:7 operator:12  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
