No,fitness,backbone
1,0.017456055,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:11  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
2,0.014641285,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:11  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:6  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
3,0.009830475,from:0 to:1 operator:6  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
4,0.02724266,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:7 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
5,0.01543045,from:0 to:1 operator:-1  from:0 to:6 operator:6  from:1 to:2 operator:-1  from:1 to:8 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:6  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
6,0.01121521,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:6  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
7,0.012508392,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:11  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:6  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
8,0.024816751,from:0 to:1 operator:-1  from:0 to:5 operator:6  from:1 to:2 operator:-1  from:1 to:4 operator:6  from:1 to:8 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
9,0.016996384,from:0 to:1 operator:-1  from:0 to:6 operator:6  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:6  from:4 to:5 operator:-1  from:4 to:8 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
10,0.017421722,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:6  from:6 to:7 operator:-1  from:6 to:8 operator:6  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
